"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","1,722.30","1,677.94","1,723.30","1,675.71","268.50M","2.67%"
"Dec 30, 2021","1,677.48","1,677.67","1,678.33","1,674.86","123.11M","-0.01%"
"Dec 29, 2021","1,677.67","1,700.61","1,702.19","1,674.41","75.89M","-1.35%"
"Dec 24, 2021","1,700.61","1,699.87","1,700.99","1,698.59","63.63M","0.13%"
"Dec 23, 2021","1,698.44","1,699.38","1,700.27","1,697.25","63.39M","-0.06%"
"Dec 22, 2021","1,699.38","1,706.50","1,706.62","1,699.38","56.24M","-0.42%"
"Dec 21, 2021","1,706.50","1,706.86","1,708.05","1,706.32","129.24M","-0.03%"
"Dec 20, 2021","1,707.03","1,705.47","1,710.62","1,705.47","73.38M","0.09%"
"Dec 17, 2021","1,705.47","1,701.74","1,708.25","1,701.74","215.04M","0.22%"
"Dec 16, 2021","1,701.74","1,704.13","1,706.74","1,701.08","184.36M","-0.14%"
"Dec 15, 2021","1,704.13","1,702.76","1,705.55","1,701.08","156.26M","0.08%"
"Dec 14, 2021","1,702.76","1,707.78","1,707.85","1,701.91","148.06M","-0.29%"
"Dec 13, 2021","1,707.78","1,682.33","1,715.08","1,678.58","95.23M","1.51%"
"Dec 10, 2021","1,682.33","1,671.76","1,682.33","1,671.46","189.15M","0.63%"
"Dec 09, 2021","1,671.76","1,703.61","1,704.19","1,663.56","413.61M","-1.87%"
"Dec 08, 2021","1,703.61","1,682.71","1,704.46","1,682.00","600.20M","1.22%"
"Dec 07, 2021","1,683.06","1,682.49","1,684.59","1,678.86","584.02M","0.03%"
"Dec 06, 2021","1,682.49","1,691.33","1,692.78","1,681.23","366.46M","-0.53%"
"Dec 03, 2021","1,691.51","1,698.24","1,699.10","1,690.40","120.67M","-0.38%"
"Dec 02, 2021","1,697.88","1,706.84","1,708.44","1,697.55","244.74M","-0.52%"
"Dec 01, 2021","1,706.84","1,746.21","1,746.21","1,706.84","235.63M","-2.25%"
"Nov 30, 2021","1,746.21","1,746.72","1,746.72","1,743.69","159.10M","-0.03%"
"Nov 29, 2021","1,746.72","1,748.42","1,748.71","1,745.69","128.98M","-0.10%"
"Nov 26, 2021","1,748.42","1,750.87","1,751.74","1,748.21","200.86M","-0.14%"
"Nov 25, 2021","1,750.87","1,758.32","1,758.32","1,750.87","138.82M","-0.44%"
"Nov 24, 2021","1,758.68","1,759.55","1,761.49","1,758.15","166.64M","-0.02%"
"Nov 23, 2021","1,759.02","1,758.80","1,760.24","1,757.94","140.86M","-0.01%"
"Nov 22, 2021","1,759.11","1,756.01","1,760.64","1,756.01","219.71M","0.18%"
"Nov 19, 2021","1,756.01","1,761.35","1,761.45","1,754.27","134.13M","-0.30%"
"Nov 18, 2021","1,761.35","1,766.59","1,767.26","1,761.00","133.42M","-0.28%"
"Nov 17, 2021","1,766.30","1,769.84","1,773.33","1,766.30","192.01M","-0.23%"
"Nov 16, 2021","1,770.44","1,774.57","1,774.57","1,769.91","358.92M","-0.23%"
"Nov 15, 2021","1,774.57","1,775.51","1,777.71","1,771.85","251.35M","-0.05%"
"Nov 12, 2021","1,775.51","1,789.66","1,793.14","1,775.42","256.92M","-0.79%"
"Nov 11, 2021","1,789.66","1,794.48","1,794.48","1,788.64","112.17M","-0.27%"
"Nov 10, 2021","1,794.48","1,796.31","1,813.42","1,793.45","220.37M","-0.10%"
"Nov 09, 2021","1,796.31","1,780.74","1,805.41","1,779.33","186.28M","0.87%"
"Nov 08, 2021","1,780.74","1,746.49","1,782.25","1,744.98","263.35M","1.94%"
"Nov 05, 2021","1,746.84","1,743.00","1,747.78","1,743.00","220.90M","0.22%"
"Nov 04, 2021","1,743.00","1,743.20","1,744.91","1,742.42","74.03M","-0.01%"
"Nov 03, 2021","1,743.20","1,745.96","1,747.61","1,742.68","164.46M","-0.16%"
"Nov 02, 2021","1,745.96","1,744.30","1,752.55","1,743.23","194.69M","0.11%"
"Nov 01, 2021","1,744.12","1,747.12","1,747.89","1,743.04","169.87M","-0.17%"
"Oct 29, 2021","1,747.12","1,742.44","1,747.89","1,741.91","206.98M","0.27%"
"Oct 28, 2021","1,742.44","1,732.66","1,744.20","1,732.66","418.56M","0.53%"
"Oct 27, 2021","1,733.19","1,734.18","1,734.18","1,731.91","179.37M","-0.06%"
"Oct 26, 2021","1,734.18","1,733.90","1,736.07","1,730.49","233.41M","0.02%"
"Oct 25, 2021","1,733.90","1,735.10","1,737.12","1,733.72","558.93M","-0.07%"
"Oct 22, 2021","1,735.10","1,731.78","1,735.47","1,729.80","363.77M","0.19%"
"Oct 21, 2021","1,731.78","1,712.68","1,734.01","1,711.62","152.00M","1.12%"
"Oct 20, 2021","1,712.68","1,707.29","1,714.82","1,704.08","299.25M","0.32%"
"Oct 18, 2021","1,707.29","1,721.39","1,721.75","1,706.39","237.74M","-0.82%"
"Oct 15, 2021","1,721.39","1,705.98","1,721.39","1,700.33","619.83M","0.90%"
"Oct 14, 2021","1,705.98","1,701.40","1,706.80","1,700.89","778.69M","0.27%"
"Oct 13, 2021","1,701.40","1,693.58","1,702.72","1,693.58","320.91M","0.46%"
"Oct 12, 2021","1,693.58","1,684.05","1,694.58","1,684.05","445.74M","0.57%"
"Oct 11, 2021","1,684.05","1,692.85","1,693.09","1,678.66","122.47M","-0.52%"
"Oct 08, 2021","1,692.85","1,689.63","1,694.04","1,688.75","237.82M","0.19%"
"Oct 07, 2021","1,689.63","1,689.31","1,690.53","1,686.66","242.73M","0.19%"
"Oct 06, 2021","1,686.47","1,683.97","1,693.08","1,683.97","303.57M","0.15%"
"Oct 05, 2021","1,683.97","1,675.71","1,684.29","1,675.57","190.08M","0.49%"
"Oct 04, 2021","1,675.71","1,674.51","1,676.73","1,674.51","110.07M","0.07%"
"Sep 30, 2021","1,674.51","1,645.98","1,674.51","1,623.32","179.97M","1.73%"
"Sep 29, 2021","1,645.98","1,610.96","1,645.98","1,610.96","340.49M","2.17%"
"Sep 28, 2021","1,610.96","1,610.55","1,611.11","1,609.57","61.76M","0.03%"
"Sep 27, 2021","1,610.55","1,616.80","1,617.56","1,593.57","78.98M","-0.39%"
"Sep 24, 2021","1,616.80","1,611.85","1,616.82","1,609.65","574.03M","0.31%"
"Sep 23, 2021","1,611.85","1,611.63","1,613.03","1,611.19","71.20M","0.01%"
"Sep 22, 2021","1,611.63","1,613.82","1,613.82","1,611.20","92.90M","-0.14%"
"Sep 21, 2021","1,613.82","1,615.52","1,615.52","1,612.31","125.21M","-0.11%"
"Sep 20, 2021","1,615.52","1,617.37","1,618.28","1,614.73","80.16M","-0.11%"
"Sep 17, 2021","1,617.37","1,616.51","1,617.37","1,613.70","88.19M","0.05%"
"Sep 16, 2021","1,616.51","1,618.85","1,618.85","1,615.90","76.86M","-0.14%"
"Sep 15, 2021","1,618.85","1,615.83","1,618.85","1,612.68","65.37M","0.19%"
"Sep 14, 2021","1,615.83","1,615.86","1,616.99","1,614.85","112.17M","-0.00%"
"Sep 13, 2021","1,615.86","1,615.69","1,616.89","1,615.48","105.31M","0.01%"
